site,type,age,d13
1262,bulk,65.007366,2.159746651
1262,bulk,65.014902,2.011699805
1262,bulk,65.029976,2.137767166
1262,bulk,65.036565,2.066267977
1262,bulk,65.041258,1.856665484
1262,bulk,65.045952,1.825733066
1262,bulk,65.050645,2.0390351
1262,bulk,65.055339,2.011729611
1262,bulk,65.060032,2.088389105
1262,bulk,65.061597,1.983641702
1262,bulk,65.070984,2.006882023
1262,bulk,65.075677,2.016696343
1262,bulk,65.080371,2.008952198
1262,bulk,65.085065,2.124409506
1262,bulk,65.089758,2.140598761
1262,bulk,65.094452,1.939157378
1262,bulk,65.099145,2.015732233
1262,bulk,65.103839,2.088701559
1262,bulk,65.108532,2.038291743
1262,bulk,65.113226,1.953317335
1262,bulk,65.117919,1.874723527
1262,bulk,65.122613,2.003631599
1262,bulk,65.127306,1.808403398
1262,bulk,65.132,1.986242478
1262,bulk,65.136227,2.045192522
1262,bulk,65.140455,1.884820906
1262,bulk,65.148909,1.759693864
1262,bulk,65.153136,1.821472703
1262,bulk,65.157364,1.90475262
1262,bulk,65.161591,1.83895628
1262,bulk,65.165818,1.796561895
1262,bulk,65.170045,1.839805629
1262,bulk,65.174273,1.92071985
1262,bulk,65.1785,1.731550653
1262,bulk,65.182727,1.775552823
1262,bulk,65.186955,1.665562402
1262,bulk,65.191182,1.753252486
1262,bulk,65.195409,1.627895403
1262,bulk,65.199636,1.594475125
1262,bulk,65.205273,1.705077841
1262,bulk,65.2095,1.613755722
1262,bulk,65.241,1.418719025
1262,bulk,65.253,1.427736791
1262,bulk,65.265,1.696081204
1262,bulk,65.277,1.640764423
1262,bulk,65.289,1.835115733
1262,bulk,65.301,1.562083001
1262,bulk,65.313,1.286562762
1262,bulk,65.325,1.264977632
1262,bulk,65.33775,1.260131005
1262,bulk,65.343,1.493467509
1262,bulk,65.34825,1.448253431
1262,bulk,65.3535,1.479139856
1262,bulk,65.35875,1.405521409
1262,bulk,65.364,1.35421532
1262,bulk,65.36925,1.546939436
1262,bulk,65.3745,1.563410048
1262,bulk,65.37975,1.650080082
1262,bulk,65.385,1.552057786
1262,bulk,65.392,1.559694148
1262,bulk,65.39725,1.481179541
1262,bulk,65.4025,1.406226997
1262,bulk,65.40775,1.457332889
1262,bulk,65.413,1.376495698
1262,bulk,65.41825,1.43300621
1262,bulk,65.4235,1.26223333
1262,bulk,65.42875,1.239992188
1262,bulk,65.434,1.15949531
1262,bulk,65.440065,1.321916978
1262,bulk,65.44613,1.308401524
1262,bulk,65.452196,1.393399948
1262,bulk,65.458261,1.386524026
1262,bulk,65.464326,1.349901205
1262,bulk,65.470391,1.472069033
1262,bulk,65.476457,1.563965204
1262,bulk,65.482522,1.459902848
1262,bulk,65.488587,1.456100875
1262,bulk,65.494652,1.448902534
1262,bulk,65.500717,1.485629377
1262,bulk,65.506783,1.473968609
1262,bulk,65.512848,1.513274191
1262,bulk,65.518913,1.522249946
1262,bulk,65.524978,1.558490266
1262,bulk,65.530524,1.517576233
1262,bulk,65.53581,1.577894248
1262,bulk,65.541095,1.545976363
1262,bulk,65.546381,1.623341286
1262,bulk,65.551667,1.622261354
1262,bulk,65.556952,1.58131877
1262,bulk,65.562238,1.57205988
1262,bulk,65.567524,1.494271839
1262,bulk,65.57281,1.547743916
1262,bulk,65.57369,1.466975193
1262,bulk,65.575159,1.41184925
1262,bulk,65.576627,1.400115047
1262,bulk,65.578095,1.342040306
1262,bulk,65.579563,1.338114163
1262,bulk,65.581032,1.39829465
1262,bulk,65.5825,1.340336243
1262,bulk,65.583968,1.365774569
1262,bulk,65.585437,1.253745283
1262,bulk,65.586905,1.360570017
1262,bulk,65.588373,1.276491737
1262,bulk,65.589841,1.258049997
1262,bulk,65.59131,1.114819547
1262,bulk,65.592778,1.199799645
1262,bulk,65.594246,1.261573733
1262,bulk,65.595714,1.209188972
1262,bulk,65.597182,1.329371526
1262,bulk,65.598651,1.284165882
1262,bulk,65.600119,1.104202836
1262,bulk,65.601841,1.356118204
1262,bulk,65.603945,1.243159499
1262,bulk,65.606048,1.023860888
1262,bulk,65.60896,1.229940074
1262,bulk,65.611872,1.100237091
1262,bulk,65.614784,1.311668826
1262,bulk,65.617696,1.310215574
1262,bulk,65.620608,1.114246006
1262,bulk,65.62352,1.225810028
1262,bulk,65.626432,1.480290267
1262,bulk,65.629344,1.325056546
1262,bulk,65.632256,1.395833468
1262,bulk,65.635169,1.359139892
1262,bulk,65.638081,1.279178192
1262,bulk,65.640993,1.490430172
1262,bulk,65.643905,1.420418917
1262,bulk,65.645938,1.650789447
1262,bulk,65.647971,1.447779106
1262,bulk,65.650004,1.249415904
1262,bulk,65.652037,1.263439783
1262,bulk,65.65407,1.434844298
1262,bulk,65.656103,1.304540699
1262,bulk,65.658136,1.294802721
1262,bulk,65.660169,1.334095546
1262,bulk,65.662202,1.419774234
1262,bulk,65.664236,1.170582896
1262,bulk,65.666268,1.336213665
1262,bulk,65.668302,1.312619965
1262,bulk,65.670335,1.161155047
1262,bulk,65.672368,1.128938542
1262,bulk,65.674401,1.255651965
1262,bulk,65.676434,1.149694509
1262,bulk,65.678467,1.16425
1262,bulk,65.6805,1.188250856
1262,bulk,65.682533,1.155948692
1262,bulk,65.684566,1.140030416
1262,bulk,65.686599,1.21884869
1262,bulk,65.688632,1.097158311
1262,bulk,65.690665,0.943961991
1262,bulk,65.692698,0.974875
1262,bulk,65.694732,0.963125
1262,bulk,65.696764,1.13239652
1262,bulk,65.698798,0.765661818
1262,bulk,65.700831,0.693767219
1262,bulk,65.702864,1.067391023
1262,bulk,65.704897,1.127621017
1262,bulk,65.70693,0.752776965
1262,bulk,65.710267,0.945462773
1262,bulk,65.71365,0.887595805
1262,bulk,65.717033,1.049263332
1262,bulk,65.720416,0.938697395
1262,bulk,65.7238,0.95413456
1262,bulk,65.728,0.940387307
1262,bulk,65.7322,1.298186191
1262,bulk,65.7364,0.978024832
1262,bulk,65.7406,0.988800014
1262,bulk,65.7448,1.070897304
1262,bulk,65.749,1.02254445
1262,bulk,65.7532,1.123330847
1262,bulk,65.7574,1.056851868
1262,bulk,65.7616,1.097790717
1262,bulk,65.7658,1.011428209
1262,bulk,65.77,1.000611219
1262,bulk,65.7742,1.053641168
1262,bulk,65.7784,0.99592179
1262,bulk,65.7826,1.09737619
1262,bulk,65.7868,0.903437913
1262,bulk,65.791,0.891076489
1262,bulk,65.7952,0.91033373
1262,bulk,65.7994,0.591122493
1262,bulk,65.8036,0.970599762
1262,bulk,65.8078,0.862942494
1262,bulk,65.812,0.83040062
1262,bulk,65.81425,0.601886608
1262,bulk,65.8165,0.738924605
1262,bulk,65.81875,0.583083035
1262,bulk,65.821,0.690479657
1262,bulk,65.82325,0.728022899
1262,bulk,65.8255,0.719528284
1262,bulk,65.82775,1.04587285
1262,bulk,65.83,0.94254523
1262,bulk,65.83225,1.210484523
1262,bulk,65.8345,1.094377655
1262,bulk,65.83675,1.01965926
1262,bulk,65.839,1.127030583
1262,bulk,65.84125,1.180790845
1262,bulk,65.8435,1.250735478
1262,bulk,65.84575,1.32269809
1262,bulk,65.848,1.41370399
1262,bulk,65.85025,1.204206895
1262,bulk,65.8525,1.273440585
1262,bulk,65.85475,1.304330804
1262,bulk,65.857,1.260673445
1262,bulk,65.85925,1.400989342
1262,bulk,65.86375,1.394461472
1262,bulk,65.866,1.473805197
1262,bulk,65.86825,1.396192902
1262,bulk,65.8705,1.512445439
1262,bulk,65.87275,1.466470122
1262,bulk,65.875,1.500129697
1262,bulk,65.87725,1.512114043
1262,bulk,65.8795,1.549127521
1262,bulk,65.88175,1.483081777
1262,bulk,65.884,1.567441665
1262,bulk,65.88625,1.548644624
1262,bulk,65.8885,1.566070475
1262,bulk,65.89075,1.549075786
1262,bulk,65.893,1.576854175
1262,bulk,65.89525,1.457194323
1262,bulk,65.8975,1.498597418
1262,bulk,65.89975,1.536571603
1262,bulk,65.902,1.545762879
1262,bulk,65.90425,1.667585864
1262,bulk,65.9065,1.517467445
1262,bulk,65.90875,1.604901431
1262,bulk,65.911,1.592516309
1262,bulk,65.913184,1.523218088
1262,bulk,65.915368,1.536851966
1262,bulk,65.917553,1.408238539
1262,bulk,65.919737,1.462619876
1262,bulk,65.921921,1.56398094
1262,bulk,65.924105,1.473406055
1262,bulk,65.926289,1.63460256
1262,bulk,65.928474,1.498473824
1262,bulk,65.930658,1.596540306
1262,bulk,65.932842,1.713069106
1262,bulk,65.935026,1.655112548
1262,bulk,65.937211,1.689030314
1262,bulk,65.941579,1.972527573
1262,bulk,65.943763,1.815453077
1262,bulk,65.945947,1.855587871
1262,bulk,65.9525,1.962795805
1262,bulk,65.954684,1.864576419
1262,bulk,65.956868,1.854087306
1262,bulk,65.963421,1.725303936
1262,bulk,65.965605,1.741019266
1262,bulk,65.967789,2.083884694
1262,bulk,65.969974,1.8784822
1262,bulk,65.972158,1.995032831
1262,bulk,65.974342,2.01411701
1262,bulk,65.976526,2.003107681
1262,bulk,65.978711,1.915802517
1262,bulk,65.980895,1.964403519
1262,bulk,65.983079,2.026848891
1262,bulk,65.985263,2.025316593
1262,bulk,65.987447,1.844998215
1262,bulk,65.989632,1.992336058
1262,bulk,65.991816,1.900272334
1262,bulk,65.994,2.089323244
1262,bulk,65.994651,2.014046664
1262,bulk,65.995302,1.955094427
1262,bulk,65.995953,2.062673424
1262,bulk,65.996605,1.922735582
1262,bulk,65.997256,2.026132112
1262,bulk,65.997907,2.04690459
1262,bulk,65.998558,2.11984822
1262,bulk,65.999209,2.252668554
1262,bulk,65.99986,2.270883291
1262,bulk,66.000512,2.383847075
1262,bulk,66.001163,2.129268457
1262,bulk,66.001814,2.233423487
1262,bulk,66.002465,2.260534226
1262,bulk,66.003116,2.277187586
1262,bulk,66.003767,2.152514211
1262,bulk,66.004419,2.208236315
1262,bulk,66.005721,2.440691333
1262,bulk,66.006372,2.360345525
1262,bulk,66.007023,2.28875064
1262,bulk,66.007674,2.417278266
1262,bulk,66.008326,2.256386179
1262,bulk,66.008977,2.396855159
1262,bulk,66.009628,2.385098796
1262,bulk,66.010279,2.417481089
1262,bulk,66.01093,2.347604888
1262,bulk,66.011581,2.321153476
1262,bulk,66.012233,2.287139054
1262,bulk,66.012884,2.452643618
1262,bulk,66.013535,2.432869915
1262,bulk,66.014837,2.373020855
1262,bulk,66.015488,2.399215974
1262,bulk,66.01614,2.496341087
1262,bulk,66.016791,2.224345766
1262,bulk,66.017442,2.320162915
1262,bulk,66.018093,2.196443112
1262,bulk,66.018744,2.18889853
1262,bulk,66.019395,2.238441818
1262,bulk,66.020047,2.261600918
1262,bulk,66.020698,2.393882588
1262,bulk,66.021349,2.517265684
1262,bulk,66.022438,2.855096701
1262,bulk,66.022876,3.083655095
1262,bulk,66.023751,3.348272566
1262,bulk,66.024189,3.186794536
1262,bulk,66.024627,3.372500343
1262,bulk,66.025065,3.301362876
1262,bulk,66.025503,3.246818423
1262,bulk,66.025941,3.276639539
1262,bulk,66.026379,3.275605212
1262,bulk,66.026817,3.386157622
1262,bulk,66.027254,3.382080986
1262,bulk,66.027692,3.29678197
1262,bulk,66.029006,3.262660778
1262,bulk,66.03032,3.431939138
1262,bulk,66.031633,3.279329143
1262,bulk,66.032947,3.349541384
1262,bulk,66.03426,3.371606294
1262,bulk,66.035574,3.286750417
1262,bulk,66.036888,3.383790561
1262,bulk,66.038201,3.373138529
1262,bulk,66.039515,3.293589724
1262,bulk,66.040828,3.208758132
1262,bulk,66.042142,3.29013117
1262,bulk,66.043456,3.075716428
1262,bulk,66.046083,3.123595019
1262,bulk,66.047396,3.219273735
1262,bulk,66.04871,3.173270192
1262,bulk,66.050024,3.261165108
1262,bulk,66.051337,3.137898735
1262,bulk,66.052651,3.134033904
1262,bulk,66.053964,3.293009662
1262,bulk,66.055278,3.226265132
1262,bulk,66.056592,3.102983995
1262,bulk,66.058343,3.11568454
1262,bulk,66.059657,3.327751104
1262,bulk,66.06097,3.044898213
1262,bulk,66.062284,2.992301036
1262,bulk,66.063598,2.935038597
1262,bulk,66.064911,3.108393851
1262,bulk,66.066225,3.283963435
1262,bulk,66.067538,3.059950058
1262,bulk,66.068852,3.110982198
1262,bulk,66.070166,3.153735498
1262,bulk,66.071479,3.194953129
1262,bulk,66.072793,3.198149428
1262,bulk,66.074107,3.173712437
1262,bulk,66.07542,3.307573388
1262,bulk,66.076734,3.289025238
1262,bulk,66.078047,3.285558847
1262,bulk,66.079361,3.092562586
1262,bulk,66.080675,3.000762949
1262,bulk,66.081988,3.005961201
1262,bulk,66.083302,2.843212678
1262,bulk,66.084615,3.116279825
1262,bulk,66.085929,2.893099253
1262,bulk,66.087243,3.05446905
1262,bulk,66.088556,2.961855392
1262,bulk,66.08987,2.856058674
1262,bulk,66.091183,2.971804592
1262,bulk,66.092497,2.890327471
1262,bulk,66.093811,2.797224635
1262,bulk,66.095124,2.991127114
1262,bulk,66.096486,2.980221015
1262,bulk,66.097945,3.014269469
1262,bulk,66.099405,3.058161285
1262,bulk,66.100864,3.026352822
1262,bulk,66.102323,3.132700781
1262,bulk,66.103782,3.194582829
1262,bulk,66.105241,3.185108159
1262,bulk,66.1067,3.133927443
1262,bulk,66.108159,3.209805068
1262,bulk,66.109618,3.136524378
1262,bulk,66.111077,3.23692511
1262,bulk,66.112536,2.967701835
1262,bulk,66.113995,2.870607318
1262,bulk,66.115455,3.026859415
1262,bulk,66.116914,3.125889413
1262,bulk,66.118373,2.969619625
1262,bulk,66.12275,2.90058247
1262,bulk,66.124209,3.098903632
1262,bulk,66.125668,2.980887022
1262,bulk,66.127127,3.151306305
1262,bulk,66.128586,2.980611504
1262,bulk,66.130045,2.999490756
1262,bulk,66.131505,2.871368797
1262,bulk,66.132964,3.056509447
1262,bulk,66.134423,2.940946199
1262,bulk,66.135882,3.009438386
1262,bulk,66.137341,2.990844491
1262,bulk,66.1388,2.873952189
1262,bulk,66.140259,2.836411552
1262,bulk,66.141718,2.932915299
1262,bulk,66.143177,2.790920014
1262,bulk,66.144636,2.820522884
1262,bulk,66.146095,2.835451605
1262,bulk,66.147555,2.769703025
1262,bulk,66.149014,2.87347354
1262,bulk,66.150473,2.869394758
1262,bulk,66.151932,3.04575026
1262,bulk,66.153391,2.870325597
1262,bulk,66.15485,3.128071273
1262,bulk,66.156309,3.119581081
1262,bulk,66.157768,2.965481937
1262,bulk,66.159227,3.295585199
1262,bulk,66.160686,2.906850296
1262,bulk,66.162145,3.106568736
1262,bulk,66.163605,2.819949083
1262,bulk,66.165064,2.916869246
1262,bulk,66.166523,2.96222415
1262,bulk,66.167982,2.741114494
1262,bulk,66.169441,2.79258597
1262,bulk,66.172359,2.854568555
1262,bulk,66.173818,2.816311783
1262,bulk,66.175277,2.896733249
1262,bulk,66.176736,2.867059853
1262,bulk,66.179655,2.835803563
1262,bulk,66.181114,2.776965269
1262,bulk,66.182573,2.847552232
1262,bulk,66.184032,2.797939097
1262,bulk,66.185491,2.83620746
1262,bulk,66.18695,2.84601755
1262,bulk,66.188409,2.819649711
1262,bulk,66.189868,2.744508323
1262,bulk,66.191327,2.838636181
1262,bulk,66.192786,2.839560851
1262,bulk,66.194245,2.991887195
1262,bulk,66.195705,2.785511861
1262,bulk,66.197164,2.833774202
1262,bulk,66.198623,2.775877659
1262,bulk,66.200082,2.674013125
1262,bulk,66.201541,2.765290275
1262,bulk,66.203,2.805565728
1262,bulk,66.204543,2.721456088
1262,bulk,66.206086,2.59915383
1262,bulk,66.207629,2.50359426
1262,bulk,66.209171,2.660020314
1262,bulk,66.210714,2.647121576
1262,bulk,66.212257,2.76928105
1262,bulk,66.2138,2.854570704
1262,bulk,66.215343,2.983705612
1262,bulk,66.216886,2.938657188
1262,bulk,66.218429,2.91439195
1262,bulk,66.219971,2.88324736
1262,bulk,66.221514,2.79923074
1262,bulk,66.223057,2.79878219
1262,bulk,66.2246,2.757200455
1262,bulk,66.226143,2.765900254
1262,bulk,66.227686,2.693661464
1262,bulk,66.229229,2.68095922
1262,bulk,66.230771,2.805406915
1262,bulk,66.233857,2.727522569
1262,bulk,66.236943,2.740814592
1262,bulk,66.238486,2.839995972
1262,bulk,66.240029,2.896630888
1262,bulk,66.241571,2.951787262
1262,bulk,66.244657,2.905782812
1262,bulk,66.247743,2.824897509
1262,bulk,66.249286,2.760755013
1262,bulk,66.250829,2.754128457
1262,bulk,66.252371,2.74370767
1262,bulk,66.253914,2.754662726
1262,bulk,66.255457,2.691057033
1262,bulk,66.257,2.877711891
1262,bulk,66.261629,2.847418708
1262,bulk,66.263171,2.863006205
1262,bulk,66.264714,2.984217467
1262,bulk,66.266257,2.931061159
1262,bulk,66.269343,2.950258951
1262,bulk,66.270886,2.886002062
1262,bulk,66.272429,2.831531131
1262,bulk,66.273971,2.780486074
1262,bulk,66.275514,2.773833863
1262,bulk,66.277057,2.797293944
1262,bulk,66.2786,2.772294954
1262,bulk,66.280143,2.755041146
1262,bulk,66.281686,2.746382142
1262,bulk,66.283229,2.764934378
1262,bulk,66.284771,2.751697172
1262,bulk,66.286314,2.853815872
1262,bulk,66.287857,2.768633215
1262,bulk,66.2894,2.882911422
1262,bulk,66.290943,2.960195134
1262,bulk,66.292486,2.901277214
1262,bulk,66.294029,3.013485798
1262,bulk,66.295571,2.830644797
1262,bulk,66.297114,2.859346428
1262,bulk,66.298657,2.889822817
1262,bulk,66.3002,2.822061461
1262,bulk,66.301743,2.97907345
1262,bulk,66.303286,3.001662599
1262,bulk,66.304829,2.777248803
1262,bulk,66.306371,2.963735505
1262,bulk,66.307914,2.948826416
1262,bulk,66.309457,2.99904054
1262,bulk,66.311,2.911217271
1262,bulk,66.312828,3.055165795
1262,bulk,66.314655,2.851269444
1262,bulk,66.316483,3.172239936
1262,bulk,66.31831,3.356920205
1262,bulk,66.320138,3.172030057
1262,bulk,66.321966,3.299462785
1262,bulk,66.323793,2.867928587
1262,bulk,66.325621,2.831186418
1262,bulk,66.327448,2.827630683
1262,bulk,66.329276,2.818945615
1262,bulk,66.331103,2.883507702
1262,bulk,66.332931,2.916912771
1262,bulk,66.334759,3.083386442
1262,bulk,66.336586,2.996044354
1262,bulk,66.338414,2.963787908
1262,bulk,66.340241,3.006458173
1262,bulk,66.342069,3.045181648
1262,bulk,66.362172,2.874046252
1262,bulk,66.364,2.958704854
1262,bulk,66.365828,2.963194771
1262,bulk,66.367655,3.005555645
1262,bulk,66.369483,3.040704445
1262,bulk,66.37131,2.928345342
1262,bulk,66.373138,3.098447997
1262,bulk,66.374966,3.104474251
1262,bulk,66.376793,2.989406721
1262,bulk,66.378621,3.079099057
