time,d13cval,d13cerror
-0.4975,1.22262744,0.108705791
-0.4925,1.208870066,0.105287737
-0.4875,1.213562509,0.109052631
-0.4825,1.205030428,0.121293766
-0.4775,1.182029144,0.132781645
-0.4725,1.182716163,0.132186669
-0.4675,1.230853979,0.126377974
-0.4625,1.302168404,0.116002225
-0.4575,1.350476,0.103267843
-0.4525,1.369187233,0.094634485
-0.4475,1.37081645,0.095353519
-0.4425,1.365149361,0.099221953
-0.4375,1.353318712,0.095724911
-0.4325,1.334186342,0.091637964
-0.4275,1.3335588,0.094212065
-0.4225,1.359001415,0.096877793
-0.4175,1.395472862,0.094891146
-0.4125,1.413112828,0.092561967
-0.4075,1.425654477,0.092533344
-0.4025,1.446659328,0.094511261
-0.3975,1.462747731,0.090590441
-0.3925,1.459652501,0.091232538
-0.3875,1.443325085,0.093858308
-0.3825,1.42830119,0.100220077
-0.3775,1.438373843,0.107314949
-0.3725,1.474607587,0.112169344
-0.3675,1.506311692,0.115575489
-0.3625,1.529834365,0.123079727
-0.3575,1.545180856,0.128196584
-0.3525,1.590864761,0.132673359
-0.3475,1.656870595,0.130193199
-0.3425,1.712748348,0.124413495
-0.3375,1.751768593,0.122491092
-0.3325,1.783143529,0.116765858
-0.3275,1.776625354,0.138643605
-0.3225,1.737326333,0.160510184
-0.3175,1.670881177,0.175896504
-0.3125,1.576929761,0.173747109
-0.3075,1.507521125,0.147606783
-0.3025,1.496152351,0.119182567
-0.2975,1.526815885,0.103592819
-0.2925,1.560777466,0.09191769
-0.2875,1.575424877,0.086024805
-0.2825,1.594395729,0.083590878
-0.2775,1.607255939,0.08504126
-0.2725,1.602781375,0.088184232
-0.2675,1.576117226,0.092381598
-0.2625,1.561840944,0.097194399
-0.2575,1.586873651,0.098602341
-0.2525,1.624233907,0.09296118
-0.2475,1.635099432,0.089928415
-0.2425,1.612926233,0.089609603
-0.2375,1.578593225,0.09397328
-0.2325,1.554311267,0.095462414
-0.2275,1.55229679,0.100912899
-0.2225,1.539197053,0.104254733
-0.2175,1.511137415,0.1033675
-0.2125,1.496769045,0.095090516
-0.2075,1.513388206,0.096408039
-0.2025,1.532912643,0.104872121
-0.1975,1.504310834,0.12216341
-0.1925,1.434951497,0.138003098
-0.1875,1.385645838,0.134497478
-0.1825,1.402315242,0.134782669
-0.1775,1.456340419,0.125661456
-0.1725,1.487404004,0.110277268
-0.1675,1.50623218,0.09460459
-0.1625,1.518080665,0.088121541
-0.1575,1.514567022,0.088675944
-0.1525,1.504775275,0.093860497
-0.1475,1.529532348,0.116614797
-0.1425,1.596280541,0.131656669
-0.1375,1.656070648,0.12857305
-0.1325,1.678623529,0.117831367
-0.1275,1.662475481,0.110321687
-0.1225,1.647513113,0.10257686
-0.1175,1.66792732,0.095522706
-0.1125,1.690325161,0.08745238
-0.1075,1.69486608,0.086911927
-0.1025,1.696454592,0.090326859
-0.0975,1.723172116,0.102273325
-0.0925,1.769323185,0.110370108
-0.0875,1.811159835,0.110599929
-0.0825,1.815314644,0.113853968
-0.0775,1.784798602,0.122905463
-0.0725,1.735186085,0.123419339
-0.0675,1.715945875,0.118611625
-0.0625,1.734940866,0.120032611
-0.0575,1.77328838,0.121020607
-0.0525,1.805484135,0.113431264
-0.0475,1.820218423,0.110075995
-0.0425,1.822581259,0.107824517
-0.0375,1.834415947,0.104616917
-0.0325,1.851763992,0.101247254
-0.0275,1.886325549,0.102623649
-0.0225,1.930057772,0.106239301
-0.0175,1.975787825,0.108562874
-0.0125,2.027050622,0.106403581
-0.0075,2.081927622,0.112836598
-0.0025,2.146511414,0.107998415
0.0025,2.208656669,0.092003599
0.0075,2.242743331,0.078079512
0.0125,2.257325904,0.07504373
0.0175,2.26196323,0.073253913
0.0225,2.264787385,0.072403072
0.0275,2.266906429,0.078016855
0.0325,2.267339495,0.086569179
0.0375,2.240536308,0.10493548
0.0425,2.184752407,0.121113376
0.0475,2.121990638,0.118549332
0.0525,2.082925912,0.114627671
0.0575,2.065229188,0.108678102
0.0625,2.073192004,0.098089673
0.0675,2.081924494,0.090817537
0.0725,2.078686578,0.086603817
0.0775,2.077449541,0.09254248
0.0825,2.064140314,0.095249717
0.0875,2.036872959,0.097992583
0.0925,2.002356533,0.096579771
0.0975,1.974427174,0.088817277
0.1025,1.96225451,0.084058812
0.1075,1.965713961,0.081771028
0.1125,1.975853994,0.081911129
0.1175,1.972340648,0.082058071
0.1225,1.953694519,0.085671772
0.1275,1.915436356,0.086300889
0.1325,1.878998281,0.084768351
0.1375,1.849980671,0.082520025
0.1425,1.83619161,0.07781884
0.1475,1.834110624,0.076926695
0.1525,1.841121099,0.077353505
0.1575,1.84708393,0.080724226
0.1625,1.847059082,0.085066517
0.1675,1.824546293,0.092332832
0.1725,1.775243719,0.098138311
0.1775,1.71615761,0.099124278
0.1825,1.664641692,0.094451716
0.1875,1.629749897,0.090311215
0.1925,1.599822067,0.087461159
0.1975,1.575671487,0.083715432
0.2025,1.561284377,0.082969073
0.2075,1.553798755,0.085775255
0.2125,1.543727207,0.091059914
0.2175,1.531656611,0.096730896
0.2225,1.522918883,0.101371062
0.2275,1.545349569,0.101353696
0.2325,1.574167697,0.099274752
0.2375,1.586720749,0.092778893
0.2425,1.586977658,0.091574272
0.2475,1.591359101,0.095700121
0.2525,1.590717123,0.097270575
0.2575,1.581736688,0.0998054
0.2625,1.574868259,0.099582619
0.2675,1.590099961,0.100867348
0.2725,1.604206149,0.100589133
0.2775,1.599630125,0.099595236
0.2825,1.588029953,0.093376071
0.2875,1.589670274,0.093936662
0.2925,1.591396093,0.094833634
0.2975,1.587347099,0.099891421
0.3025,1.573171021,0.102638977
0.3075,1.552766267,0.108192987
0.3125,1.523615178,0.103707069
0.3175,1.495995163,0.097238263
0.3225,1.498868444,0.096869245
0.3275,1.512813375,0.100648921
0.3325,1.538830508,0.11163739
0.3375,1.571108425,0.110900663
0.3425,1.58961746,0.106811483
0.3475,1.593532666,0.099502292
0.3525,1.590954194,0.0965106
0.3575,1.59632493,0.097544241
0.3625,1.595463695,0.108192641
0.3675,1.576861405,0.117483728
0.3725,1.550273024,0.120123657
0.3775,1.543326884,0.109927039
0.3825,1.547572388,0.09559823
0.3875,1.554895181,0.086687134
0.3925,1.548999923,0.085627287
0.3975,1.531120864,0.086185451
0.4025,1.508075654,0.092509945
0.4075,1.489927323,0.098961917
0.4125,1.471759078,0.101011572
0.4175,1.447237353,0.104491658
0.4225,1.418725452,0.097867639
0.4275,1.399173764,0.090231214
0.4325,1.394836059,0.086021226
0.4375,1.38906394,0.09058017
0.4425,1.380295198,0.102114509
0.4475,1.387343289,0.113653826
0.4525,1.428839565,0.120360577
0.4575,1.461803432,0.106121334
0.4625,1.466088508,0.100646272
0.4675,1.444682568,0.103704331
0.4725,1.399334083,0.10809802
0.4775,1.364920429,0.106745885
0.4825,1.353551364,0.107306956
0.4875,1.367019061,0.117300982
0.4925,1.381284992,0.117255168
0.4975,1.357973046,0.120739358
0.5025,1.313318623,0.113071832
0.5075,1.29290259,0.105825968
0.5125,1.290952807,0.104872668
0.5175,1.330812285,0.107130939
0.5225,1.371074496,0.098533551
0.5275,1.380661858,0.094910336
0.5325,1.380429252,0.089465787
0.5375,1.38044549,0.09144062
0.5425,1.374983253,0.091523228
0.5475,1.370384658,0.090948204
0.5525,1.367262129,0.093744016
0.5575,1.364446681,0.094870033
0.5625,1.370260689,0.093948019
0.5675,1.3716344,0.098091067
0.5725,1.357588944,0.099632701
0.5775,1.337803142,0.100797459
0.5825,1.317253607,0.101195222
0.5875,1.312488778,0.100503324
0.5925,1.316644655,0.099619184
0.5975,1.322194559,0.096978235
0.6025,1.31878642,0.097916687
0.6075,1.315259099,0.096306804
0.6125,1.302810397,0.098599509
0.6175,1.279330555,0.100584966
0.6225,1.261385641,0.100059682
0.6275,1.240184698,0.101843191
0.6325,1.23731781,0.111646561
0.6375,1.301638595,0.135640379
0.6425,1.385615683,0.116487235
0.6475,1.392276081,0.100158233
0.6525,1.379308453,0.097995103
0.6575,1.369727572,0.098692195
0.6625,1.351617978,0.111787272
0.6675,1.295341388,0.128118384
0.6725,1.222612795,0.129567725
0.6775,1.153808548,0.138673637
0.6825,1.06940698,0.172841287
0.6875,0.953076236,0.176674028
0.6925,0.909974027,0.143954358
0.6975,0.952863826,0.129687556
0.7025,0.996899609,0.111411964
0.7075,1.022444375,0.108031559
0.7125,1.068921522,0.106395169
0.7175,1.103260911,0.101950284
0.7225,1.124949161,0.105341361
0.7275,1.153171779,0.105095292
0.7325,1.167413717,0.102302331
0.7375,1.158255133,0.098733004
0.7425,1.137522944,0.100298498
0.7475,1.133647848,0.097089672
0.7525,1.143469481,0.101668505
0.7575,1.124640639,0.113707215
0.7625,1.078074071,0.120526598
0.7675,1.031366726,0.110858643
0.7725,1.002343096,0.100567814
0.7775,0.995034718,0.100629296
0.7825,0.9984374,0.102023708
0.7875,1.012373184,0.102472441
0.7925,1.034751245,0.101836704
0.7975,1.054514287,0.106488369
0.8025,1.072134293,0.113939914
0.8075,1.121990402,0.122416886
0.8125,1.18814373,0.116617622
0.8175,1.236773864,0.106305911
0.8225,1.270901052,0.096691276
0.8275,1.291741197,0.09217239
0.8325,1.310401648,0.091044789
0.8375,1.32936026,0.091106879
0.8425,1.349594917,0.091684294
0.8475,1.373349615,0.091312584
0.8525,1.38023122,0.094055279
0.8575,1.358566861,0.111086747
0.8625,1.306244059,0.128434258
0.8675,1.247672711,0.128357563
0.8725,1.219225832,0.117670217
0.8775,1.231757924,0.108221728
0.8825,1.255860135,0.101647875
0.8875,1.263422652,0.094882286
0.8925,1.245352855,0.094974118
0.8975,1.220587604,0.094297074
0.9025,1.210409586,0.096664825
0.9075,1.226222893,0.10767561
0.9125,1.275571905,0.12312259
0.9175,1.342814736,0.123197229
0.9225,1.396427548,0.109919922
0.9275,1.425729047,0.099583671
0.9325,1.44874811,0.098346829
0.9375,1.468576861,0.096180182
0.9425,1.483283989,0.09609851
0.9475,1.501986479,0.096156212
0.9525,1.507621499,0.097618188
0.9575,1.493590658,0.101148861
0.9625,1.471338198,0.098520083
0.9675,1.458452392,0.095358596
0.9725,1.451237052,0.09267892
0.9775,1.447441578,0.090188785
0.9825,1.447506894,0.091073401
0.9875,1.452582866,0.09291617
0.9925,1.449172812,0.099437536
0.9975,1.442949628,0.130733619